0.10061,0.54066
0.33268,0.42382
0.27578,1.8145
0.39139,4.1099
0.35916,2.9363
0.16741,1.4758
0.25316,0.49536
0.2091,0.42993
0.32874,0.7132
0.14483,0.72805
0.57518,0.93306
0.30143,0.31242
0.03443,1.4261
0.33817,2.7975
0.17233,1.315
0.4368,0.84667
0.34071,1.6112
0.53769,0.44271
0.41868,1.9668
0.39969,3.9472
0.22405,0.4609
0.26279,1.0705
0.43168,0.93143
0.17364,1.0259
0.29694,0.27628
0.15942,2.5324
0.16339,0.93874
0.31566,3.7216
0.15077,1.7496
0.34367,1.6622
0.49067,1.5684
0.34108,0.53133
0.2524,2.0071
0.12582,1.6273
0.36198,0.59068
0.4792,1.1193
0.13028,0.75324
0.33393,1.3438
0.083081,0.8096
0.20556,3.4244
0.4349,0.92002
0.16734,1.4132
0.34864,0.3922
0.17115,0.63995
0.059772,1.0458
0.36053,2.2682
0.50561,0.60554
0.29005,0.71393
0.22945,2.4587
0.20194,1.1883
